mono_ns,camera_ts_ns,v4l2_timestamp_ns,camera_dequeue_ns,v4l2_flags,v4l2_to_dequeue_ms,flow_send_ns,frame_pipeline_latency_ms,camera_queue_dropped,camera_queue_dropped_total,frame,guide_leg,guide_stage,valid,invalid_reason,bridge_pending,dt_s,features,tracked,inliers,inlier_ratio,t_features_ms,t_lk_ms,t_ransac_ms,t_post_ms,du_px,dv_px,du_norm,dv_norm,yaw_rate_cam_z,scale_rate,lk_height_scale,flow_cam_x,flow_cam_y,flow_body_x,flow_body_y,lever_valid,lever_production_applied,lever_flow_body_x,lever_flow_body_y,lever_pred_flow_x,lever_pred_flow_y,ab_fb_enabled,ab_fb_max_px,ab_fb_checked,ab_fb_pass,ab_fb_ratio,ab_fb_inliers,ab_fb_valid,ab_fb_flow_body_x,ab_fb_flow_body_y,ab_fb_t_ms,ab_robust_valid,ab_robust_flow_body_x,ab_robust_flow_body_y,ab_robust_sigma,ab_robust_mean_weight,ab_robust_downweighted,ab_robust_iters,ab_obs_valid,ab_obs_flow_body_x,ab_obs_flow_body_y,ab_obs_median_ratio,ab_obs_mean_weight,ab_obs_downweighted,quality,luna_m,luna_age_ms,range_to_fc_m,flow_send_x,flow_send_y,flow_sent,stabilised_publish_mode,stabilised_publish_ready,stabilised_publish_source,range_sent,fc_armed,ekf_local_valid,ekf_x_ned,ekf_y_ned,ekf_z_ned,ekf_vx_ned,ekf_vy_ned,ekf_vz_ned,ekf_age_ms,ekf_count,ekf_status_valid,ekf_flags,ekf_status_age_ms,ekf_status_count,ekf_vel_var,ekf_pos_h_var,ekf_pos_v_var,ekf_compass_var,ekf_terrain_var,return_event,rc_zero_seq,worked5_valid,worked5_points,worked5_hcam_m,worked5_du_norm,worked5_dv_norm,worked5_dx_m,worked5_dy_m,worked5_dN_m,worked5_dE_m,worked5_acc_n_m,worked5_acc_e_m,fc_roll,fc_pitch,fc_yaw,fc_gyro_x,fc_gyro_y,fc_gyro_z,fc_gyro_age_ms,fc_gyro_samples,ctrl_target_valid,ctrl_target_x,ctrl_target_y,ctrl_target_vx,ctrl_target_vy,ctrl_target_age_ms,att_target_valid,att_target_roll,att_target_pitch,att_target_yaw,att_target_thrust,att_target_age_ms,outputs_valid,out1,out2,out3,out4,out5,out6,out7,out8,outputs_age_ms,c0_n,c0_bx,c0_by,c1_n,c1_bx,c1_by,c2_n,c2_bx,c2_by,c3_n,c3_bx,c3_by,c4_n,c4_bx,c4_by,c5_n,c5_bx,c5_by,c6_n,c6_bx,c6_by,c7_n,c7_bx,c7_by,c8_n,c8_bx,c8_by
4412736471923,4412725106000,4412725106000,4412736466534,73729,11.3605,4412749004869,23.8989,1,4762,14867,0,0,1,0,0,0.019969,332,332,332,1,3.11932,3.3244,0.506153,0.222335,0.0745544,-0.069725,0.000118627,-0.000133598,-0.0020849,0.000186411,1,-0.00669025,-0.00594057,0.00594057,-0.00669025,1,1,0.00618023,-0.00663225,-0.000239667,-5.79995e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.2,0.873693,0.2,0.000926528,-0.0142296,1,1,1,1,1,1,1,-0.538089,-3.14569,0.148347,-0.0118605,0.0104693,0.0258368,15.746,3890,1,367,61.3505,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,332,0.205,0.000100656,-0.000113288,-2.3224e-05,-2.06344e-05,-2.73479e-05,-1.47283e-05,-0.429248,0.128506,0.00328989,-0.0208932,-0.232548,0.00168443,-0.000237798,0.00213365,15.5123,0,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.232475,0,16.0667,1,1010,1010,1010,1010,0,0,0,0,16.071,56,0.00732029,-0.00529223,56,0.00524722,-0.00820339,56,0.00791158,-0.00669215,2,0,0,0,0,0,2,0,0,48,0.00667752,-0.00460167,56,0.00708097,-0.00716014,56,0.00511594,-0.0062913
4412749668579,4412737083000,4412737083000,4412749654912,73729,12.5719,4412761407240,24.3242,0,4762,14868,0,0,1,0,0,0.011977,334,334,334,1,2.82049,3.30675,0.569968,0.27478,-0.0059967,-0.0452881,-8.04222e-06,-8.61907e-05,0.00696811,0.00284275,1,-0.00719635,0.000671472,-0.000671472,-0.00719635,1,1,-0.00149005,-0.00707764,0.000818578,-0.000118709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.2,3.91783,0.2,0.000578097,0.00586417,1,1,1,1,0,1,1,-0.538089,-3.14569,0.148347,-0.0118605,0.0104693,0.0258368,28.1488,3890,1,367,73.7534,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,334,0.205,-6.83025e-06,-7.3081e-05,-1.49816e-05,1.4002e-06,-1.42521e-05,4.81556e-06,-0.429262,0.128511,0.00320845,-0.0210195,-0.23263,-0.000784529,-0.000486708,-0.00331256,12.1808,2,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.232475,0,28.3663,1,1010,1010,1010,1010,0,0,0,0,28.3706,56,0.000337646,-0.00529497,56,0.000678588,-0.00611944,56,0.00105092,-0.00810783,2,0,0,0,0,0,3,0.00194853,-0.00484373,49,-0.000135245,-0.0103744,56,0.000103961,-0.00808715,56,-0.000280083,-0.00859174
4412761929003,4412745126000,4412745126000,4412761916707,73729,16.7907,4412772527488,27.4015,0,4762,14869,0,0,1,0,0,0.008043,331,331,331,1,2.77573,3.52983,0.553431,0.254743,-0.0382233,-0.0341339,-4.81093e-05,-6.38029e-05,0.00270611,-0.00733542,1,-0.00793272,0.00598151,-0.00598151,-0.00793272,1,1,-0.00757395,-0.00779786,0.00159244,-0.000134857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.19,5.27529,0.19,-0.0066038,-0.00671424,1,1,1,1,0,1,1,-0.538089,-3.14569,0.148347,-0.0118605,0.0104693,0.0258368,39.333,3890,1,367,84.9378,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,331,0.195,-4.08203e-05,-5.41193e-05,-1.05533e-05,7.95995e-06,-8.43154e-06,1.01785e-05,-0.42927,0.128521,0.00315861,-0.021082,-0.232691,-0.00238884,-0.000525943,-0.00687949,10.8844,1,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.232475,0,39.5833,1,1010,1010,1010,1010,0,0,0,0,39.5876,56,-0.0123397,-0.00774038,56,0.00378756,-0.00698684,56,-0.00823705,-0.00824964,2,0,0,0,0,0,2,0,0,47,-0.00385607,-0.00974315,56,-0.0119496,-0.00560666,56,-0.0081784,-0.0065371
4412773298957,4412765122000,4412765122000,4412773284346,73729,8.16235,4412785584586,20.4626,1,4763,14870,0,0,1,0,0,0.019996,332,332,331,0.996988,2.9266,4.62348,0.479226,0.25278,-0.0955658,-0.0147705,-0.000143481,-2.75256e-05,0.011584,-0.000860618,1,-0.00137655,0.00717547,-0.00717547,-0.00137655,1,1,-0.00833123,-0.00141546,0.00115576,3.89032e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.2,7.22873,0.2,-0.0119649,-0.0208774,1,1,1,1,0,1,1,-0.538089,-3.14569,0.148347,-0.0118605,0.0104693,0.0258368,52.3287,3890,1,367,97.9332,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,331,0.205,-0.000121734,-2.33141e-05,-4.77938e-06,2.49554e-05,1.10433e-06,2.53849e-05,-0.429269,0.128547,0.00312095,-0.0211076,-0.232725,-0.00310821,0.000159503,-0.00627746,12.7955,1,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.23266,0,0.200669,1,1010,1010,1010,1010,0,0,0,0,0.204521,56,-0.00649338,-0.00152717,56,-0.00650084,-0.00172912,56,-0.00557777,-0.000974017,2,0,0,0,0,0,2,0,0,47,-0.00715936,-0.00189773,56,-0.00788421,-0.00201906,56,-0.00581092,-0.00234075
4412786093887,4412777077000,4412777077000,4412786080424,73729,9.00342,4412800078420,23.0014,0,4763,14871,0,0,1,0,0,0.011955,334,334,334,1,2.69886,3.43188,0.460967,0.244669,0.000335693,0.0167847,1.84127e-05,1.10216e-05,0.00553008,0.00216805,1,0.000921925,-0.00154016,0.00154016,0.000921925,1,1,0.000677077,0.000702677,0.000863086,0.000219248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.2,-0.289188,0.2,0.0172327,0.0372029,1,1,1,1,0,1,1,-0.538101,-3.14562,0.148242,-0.00906317,0.00893491,0.0256041,14.4752,3891,1,367,112.423,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,334,0.205,1.55359e-05,9.33299e-06,1.91326e-06,-3.18486e-06,1.12694e-06,-3.5402e-06,-0.429268,0.128543,0.00311331,-0.0211405,-0.232729,-0.000826575,0.000898918,-0.00349218,14.2856,1,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.23266,0,14.6982,1,1010,1010,1010,1010,0,0,0,0,14.7021,56,-0.00294443,0.00359868,56,0.0145553,-0.00221671,56,-0.00193854,0.00346719,2,0,0,0,0,0,2,0,0,50,0.000995351,0.00303503,56,0.0018912,0.002237,56,-0.000421416,0.00244518
4412800622851,4412785101000,4412785101000,4412800607832,73729,15.5068,4412811016907,25.9159,0,4763,14872,0,0,1,0,0,0.008024,335,335,335,1,2.67382,3.32101,0.578172,0.262836,0.00973511,-0.0261536,7.08941e-07,-4.04471e-05,-0.00534889,0.00176278,1,-0.00504077,-8.83525e-05,8.83525e-05,-0.00504077,1,1,4.73202e-05,-0.00474828,4.10323e-05,-0.000292486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.2,4.05511,0.2,0.00267132,-0.00553872,1,1,1,1,1,1,1,-0.538101,-3.14562,0.148242,-0.00906317,0.00893491,0.0256041,25.413,3891,1,367,123.361,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,335,0.205,6.06141e-07,-3.43017e-05,-7.03185e-06,-1.24259e-07,-6.86948e-06,1.50007e-06,-0.429275,0.128545,0.00310425,-0.0212096,-0.232665,0.000963412,-0.00119919,0.000636144,10.7186,2,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.23266,0,25.6335,1,1010,1010,1010,1010,0,0,0,0,25.6373,56,-0.000303737,-0.00500008,56,-0.00303331,0.00052966,56,-0.004886,-0.00495849,1,0,0,0,0,0,3,0.018796,-0.0249756,51,0.00472671,-0.0176429,56,0.00356627,-0.00439352,56,0.00117359,-0.00504963
4412811586079,4412797081000,4412797081000,4412811567727,73729,14.4867,4412822527900,25.4469,0,4763,14873,0,0,1,0,0,0.01198,331,331,331,1,2.75715,3.19603,0.52743,0.260799,0.0143433,-0.00598145,2.24485e-05,1.80335e-06,-0.00166571,-0.00554063,1,0.00015053,-0.00187383,0.00187383,0.00015053,1,1,0.00315064,7.52988e-05,-0.00127681,7.52309e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.19,4.85628,0.19,-0.00712383,-0.0172712,1,1,1,1,0,1,1,-0.538101,-3.14562,0.148242,-0.00906317,0.00893491,0.0256041,36.9238,3891,1,367,134.871,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,331,0.195,1.90765e-05,1.5153e-06,2.95484e-07,-3.71991e-06,-5.69745e-07,-3.68788e-06,-0.429276,0.128541,0.00310806,-0.0212155,-0.232594,0.000985851,0.000293401,0.00477234,11.3341,1,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.23266,0,37.1361,1,1010,1010,1010,1010,0,0,0,0,37.1399,56,0.0009619,0.00112593,56,-0.0033791,0.00127355,56,0.00706289,-0.00136732,2,0,0,0,0,0,3,-0.00970153,0.000387661,46,0.00407427,-0.00220239,56,0.000834152,-0.00202503,56,0.0027546,0.0011677
4412823041719,4412817070000,4412817070000,4412823033219,73729,5.96322,4412835185328,18.1153,1,4764,14874,0,0,1,0,0,0.019989,338,338,338,1,2.79017,3.7659,0.519542,0.220021,0.0409393,0.047142,6.96201e-06,6.48877e-05,-0.00885523,0.00425743,1,0.00324617,-0.000348292,0.000348292,0.00324617,1,1,0.00208566,0.00308458,-0.00173737,0.000161587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.19,6.16313,0.19,-0.0487246,-0.213681,1,1,1,1,0,1,1,-0.537984,-3.14572,0.148297,-0.0072356,0.00685364,0.0260726,1.87374,3892,1,367,147.527,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,338,0.195,6.00178e-06,5.50274e-05,1.07303e-05,-1.17035e-06,1.01698e-05,-3.61023e-06,-0.429265,0.128537,0.00310899,-0.0212358,-0.232454,0.001425,0.000630189,0.0065606,1.70077,2,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.232385,0,2.0895,1,1010,1010,1010,1010,0,0,0,0,2.09406,56,0.00455426,0.00319068,56,-0.0037995,0.000511083,56,0.00266083,0.0044448,1,0,0,0,0,0,2,0,0,55,0.00139219,0.00436355,56,0.00279094,0.00480637,56,0.00154626,0.00500935
4412835692296,4412825101000,4412825101000,4412835678444,73729,10.5774,4412846176779,21.0758,0,4764,14875,0,0,1,0,0,0.008031,336,336,336,1,3.06995,3.33047,0.597061,0.222447,0.0241394,0.00548553,6.47119e-05,-5.27467e-07,0.00490567,0.00882366,1,-6.56788e-05,-0.00805776,0.00805776,-6.56788e-05,1,1,0.00973922,-0.000159462,-0.00168146,9.37828e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.2,8.67978,0.2,0.147036,0.446524,1,1,1,1,0,1,1,-0.537984,-3.14572,0.148297,-0.0072356,0.00685364,0.0260726,12.8787,3892,1,367,158.533,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,336,0.205,5.48134e-05,-4.51076e-07,-9.24707e-08,-1.12367e-05,-2.67779e-06,-1.09133e-05,-0.429268,0.128526,0.00310899,-0.0212358,-0.232454,0.00128891,0.00038451,0.00654633,12.687,0,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.232385,0,13.0972,1,1010,1010,1010,1010,0,0,0,0,13.1018,56,0.00342926,0.00279976,56,0.0229631,0.00299295,56,0.00189659,-0.000806064,2,0,0,0,0,0,3,0.00942702,0.00267278,51,0.00153298,0.00604868,56,0.00922648,-0.00280509,56,0.00606543,-0.001691
4412846700543,4412833102000,4412833102000,4412846686061,73729,13.5841,4412857032580,23.9306,0,4764,14876,0,0,1,0,0,0.008001,336,336,336,1,2.93355,2.51578,0.434411,0.223687,0.00582886,0.0123978,-1.42313e-05,3.13875e-05,-0.0100043,0.00262562,1,0.00392294,0.00177869,-0.00177869,0.00392294,1,1,-0.000563411,0.0041006,-0.00121528,-0.00017766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.2,-0.63045,0.2,0.0275868,0.104162,1,1,1,1,0,1,1,-0.537984,-3.14572,0.148297,-0.0072356,0.00685364,0.0260726,23.7243,3892,1,367,169.378,973,0,0.000884653,0.0134905,0.0102763,0,0,0,1,336,0.205,-1.20185e-05,2.66191e-05,5.45692e-06,2.46379e-06,5.87633e-06,1.1409e-06,-0.429262,0.128528,0.00309247,-0.0212473,-0.232427,0.000335483,-0.000728404,0.0042545,10.5789,1,0,0,0,0,0,-1,1,-9.04571e-07,-3.41785e-06,-0.232385,0,24.0635,1,1010,1010,1010,1010,0,0,0,0,24.068,56,0.00317734,-0.00378325,56,-0.0146837,0.00544431,56,-0.00140235,0.00947902,2,0,0,0,0,0,3,-0.0058383,0.0100082,51,-0.00415507,0.00502126,56,0.00231215,0.000904839,56,0.00554759,0.00460533
