mono_ns,camera_ts_ns,v4l2_timestamp_ns,camera_dequeue_ns,v4l2_flags,v4l2_to_dequeue_ms,flow_send_ns,frame_pipeline_latency_ms,camera_queue_dropped,camera_queue_dropped_total,frame,guide_leg,guide_stage,valid,invalid_reason,bridge_pending,dt_s,features,tracked,inliers,inlier_ratio,t_features_ms,t_lk_ms,t_ransac_ms,t_post_ms,du_px,dv_px,du_norm,dv_norm,yaw_rate_cam_z,scale_rate,lk_height_scale,flow_cam_x,flow_cam_y,flow_body_x,flow_body_y,lever_valid,lever_production_applied,lever_flow_body_x,lever_flow_body_y,lever_pred_flow_x,lever_pred_flow_y,ab_fb_enabled,ab_fb_max_px,ab_fb_checked,ab_fb_pass,ab_fb_ratio,ab_fb_inliers,ab_fb_valid,ab_fb_flow_body_x,ab_fb_flow_body_y,ab_fb_t_ms,ab_robust_valid,ab_robust_flow_body_x,ab_robust_flow_body_y,ab_robust_sigma,ab_robust_mean_weight,ab_robust_downweighted,ab_robust_iters,ab_obs_valid,ab_obs_flow_body_x,ab_obs_flow_body_y,ab_obs_median_ratio,ab_obs_mean_weight,ab_obs_downweighted,quality,luna_m,luna_age_ms,range_to_fc_m,flow_send_x,flow_send_y,flow_sent,stabilised_publish_mode,stabilised_publish_ready,stabilised_publish_source,range_sent,fc_armed,ekf_local_valid,ekf_x_ned,ekf_y_ned,ekf_z_ned,ekf_vx_ned,ekf_vy_ned,ekf_vz_ned,ekf_age_ms,ekf_count,ekf_status_valid,ekf_flags,ekf_status_age_ms,ekf_status_count,ekf_vel_var,ekf_pos_h_var,ekf_pos_v_var,ekf_compass_var,ekf_terrain_var,return_event,rc_zero_seq,worked5_valid,worked5_points,worked5_hcam_m,worked5_du_norm,worked5_dv_norm,worked5_dx_m,worked5_dy_m,worked5_dN_m,worked5_dE_m,worked5_acc_n_m,worked5_acc_e_m,fc_roll,fc_pitch,fc_yaw,fc_gyro_x,fc_gyro_y,fc_gyro_z,fc_gyro_age_ms,fc_gyro_samples,ctrl_target_valid,ctrl_target_x,ctrl_target_y,ctrl_target_vx,ctrl_target_vy,ctrl_target_age_ms,att_target_valid,att_target_roll,att_target_pitch,att_target_yaw,att_target_thrust,att_target_age_ms,outputs_valid,out1,out2,out3,out4,out5,out6,out7,out8,outputs_age_ms,c0_n,c0_bx,c0_by,c1_n,c1_bx,c1_by,c2_n,c2_bx,c2_by,c3_n,c3_bx,c3_by,c4_n,c4_bx,c4_by,c5_n,c5_bx,c5_by,c6_n,c6_bx,c6_by,c7_n,c7_bx,c7_by,c8_n,c8_bx,c8_by
4705991710580,4705975997000,4705975997000,4705991690024,73729,15.693,4706003277230,27.2802,0,10549,38495,0,0,1,0,0,0.011969,355,355,354,0.997183,2.65556,3.59699,0.524652,0.246577,0.0317841,-0.0916595,8.12511e-05,-0.00018448,0.0142664,-0.00153183,1,-0.0154131,-0.00678846,0.00678846,-0.0154131,1,1,0.00563626,-0.0124819,0.0011522,-0.0029312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,6.86902,0.27,-0.0307146,-0.0230782,1,1,1,1,1,1,1,-0.337256,-3.19296,0.163587,0.0177567,0.00758474,0.109975,14.6954,9743,1,367,113.988,2436,0,0.000884653,0.0253092,0.0186769,0,0,0,1,354,0.275,6.88782e-05,-0.000156436,-4.30199e-05,-1.89415e-05,-4.46918e-05,-9.5416e-06,-0.172906,0.059643,-0.0014604,0.258026,-0.217036,-0.00919825,-0.0161216,-0.0124283,14.5005,0,0,0,0,0,0,-1,1,-9.04587e-07,-3.41782e-06,-0.217069,0,14.9157,1,1010,1010,1010,1010,0,0,0,0,14.9198,56,0.0100023,-0.0179748,55,-0.00297089,-0.012424,50,0.011427,-0.0184211,28,0.00283952,-0.0137582,9,-0.0062255,-0.011471,36,0.00161993,-0.0162369,8,0.00811241,-0.00729747,56,0.00571695,-0.0146938,56,0.00743888,-0.0143653
4706003890754,4705984052000,4705984052000,4706003868124,73729,19.8161,4706014688935,30.6369,0,10549,38496,0,0,1,0,0,0.008055,367,365,361,0.989041,2.58476,3.81155,0.496727,0.282725,-0.206589,-0.18837,-0.000309454,-0.000382196,0.0340834,0.0513284,1,-0.0474483,0.0384176,-0.0384176,-0.0474483,1,1,-0.0324616,-0.0434612,-0.00595605,-0.00398706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,8.95424,0.27,-0.0546963,-0.0355968,1,1,1,1,0,1,1,-0.337256,-3.19296,0.163587,0.0177567,0.00758474,0.109975,26.1063,9743,1,367,125.399,2436,0,0.000884653,0.0253092,0.0186769,0,0,0,1,361,0.275,-0.000262594,-0.000324051,-8.91139e-05,7.22135e-05,-6.8665e-05,8.90586e-05,-0.172974,0.0597321,-0.00191024,0.257701,-0.216686,-0.0298542,-0.0219288,0.00232326,11.1753,2,0,0,0,0,0,-1,1,-9.04587e-07,-3.41782e-06,-0.217069,0,26.3315,1,1010,1010,1010,1010,0,0,0,0,26.3356,53,-0.046166,-0.0473761,55,-0.0236847,-0.0441869,51,-0.0554342,-0.0566231,33,-0.0504597,-0.0441953,13,-0.0457384,-0.0530355,37,0.000200711,-0.0472171,7,-0.0249767,-0.0397555,56,-0.0483615,-0.05067,56,-0.0542607,-0.0562367
4706015227717,4706004034000,4706004034000,4706015219995,73729,11.186,4706034290004,30.256,1,10550,38497,0,0,1,0,0,0.019982,353,352,352,1,2.59735,3.83157,0.591801,0.247613,-0.362961,-0.283806,-0.000694096,-0.000543917,-0.00542147,0.0359461,1,-0.0272203,0.0347361,-0.0347361,-0.0272203,1,1,-0.023094,-0.02566,-0.0116421,-0.00156037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,-0.041964,0.27,-0.008768,-0.0021595,1,1,1,1,0,1,1,-0.337256,-3.19296,0.163587,0.0177567,0.00758474,0.109975,45.7046,9743,1,367,144.998,2436,0,0.000884653,0.0253092,0.0186769,0,0,0,1,352,0.275,-0.000589042,-0.000461319,-0.000126863,0.000161987,-8.51647e-05,0.000184536,-0.17306,0.0599166,-0.00182878,0.257732,-0.216072,-0.0152948,-0.00858206,0.0389892,19.3832,1,0,0,0,0,0,-1,1,-9.04587e-07,-3.41782e-06,-0.217069,0,45.9267,1,1010,1010,1010,1010,0,0,0,0,0.057352,56,-0.0452586,-0.0261466,56,-0.0203652,-0.0302776,46,-0.0425351,-0.0312278,25,-0.0357471,-0.0248046,13,-0.0245909,-0.0198199,36,-0.0283062,-0.0300399,8,-0.039408,-0.0173202,56,-0.0409906,-0.0270195,56,-0.0423855,-0.0334668
4706034825693,4706024027000,4706024027000,4706034817230,73729,10.7902,4706050955289,26.9283,1,10551,38498,0,0,1,0,0,0.019993,341,340,339,0.997059,2.85756,8.00999,0.450652,0.239521,-0.233276,0.0525513,-0.000615606,9.24115e-05,-0.052768,0.0418996,1,0.0046222,0.0307911,-0.0307911,0.0046222,1,1,-0.0154905,0.00473603,-0.0153005,-0.000113837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,-0.753358,0.27,0.00222017,0.0211811,1,1,1,1,0,1,1,-0.337256,-3.19296,0.163587,0.0177567,0.00758474,0.109975,62.3798,9743,1,367,161.673,2436,0,0.000884653,0.0253092,0.0186769,0,0,0,1,339,0.275,-0.000521912,7.81552e-05,2.14927e-05,0.000143526,5.09065e-05,0.000135785,-0.173009,0.0600524,-0.00166088,0.25777,-0.215302,-0.00422127,-0.000626102,0.0639454,16.3903,1,0,0,0,0,0,-1,1,-9.04587e-07,-3.41782e-06,-0.214614,0,0.196575,1,1010,1010,1010,1010,0,0,0,0,16.7278,56,-0.0287517,0.00896248,56,-0.0219265,-0.00351844,43,-0.0358076,0.00400521,23,-0.0327963,0.0120398,9,-0.0387554,0.00639486,34,-0.0285485,0.00320167,6,-0.0258304,0.00645825,56,-0.0334738,0.00828736,56,-0.0377152,0.0028415
4706051491774,4706035995000,4706035995000,4706051477719,73729,15.4827,4706062736774,26.7418,0,10551,38499,0,0,1,0,0,0.011968,352,352,346,0.982955,2.59452,3.58194,0.453244,0.240816,-0.128738,-0.0458984,-0.000369633,-3.68412e-05,-0.0598105,0.03103,1,-0.00307831,0.0308851,-0.0308851,-0.00307831,1,1,-0.0153298,-0.0024354,-0.0155553,-0.000642908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,4.17492,0.27,-0.0180545,-0.00100869,1,1,1,1,1,1,1,-0.336534,-3.19271,0.165715,0.0211428,0.00870726,0.109681,11.7552,9744,1,367,173.448,2436,0,0.000884653,0.0253092,0.0186769,0,0,0,1,346,0.275,-0.000313541,-3.13901e-05,-8.63228e-06,8.62237e-05,1.01306e-05,8.60354e-05,-0.172999,0.0601384,-0.00142044,0.257684,-0.214076,0.000726968,-0.00353599,0.0690248,11.5333,2,0,0,0,0,0,-1,1,-9.04587e-07,-3.41782e-06,-0.214614,0,11.9872,1,1010,1010,1010,1010,0,0,0,0,28.5184,54,-0.0308236,-0.00820198,56,-0.0172495,0.000962755,51,-0.0296173,-0.00977541,26,-0.0107722,-0.00273061,9,-0.0135423,-0.00932308,35,-0.0398841,-0.00383207,7,-0.0485203,-0.00233172,56,-0.0335047,-0.00899967,52,-0.0377696,-0.00523408
4706063360187,4706052078000,4706052078000,4706063347279,73729,11.2693,4706073327195,21.2492,1,10552,38500,0,0,1,0,0,0.016083,359,359,357,0.994429,2.56708,3.63873,0.480541,0.238761,-0.328003,-0.224045,-0.000601224,-0.000441041,-0.0256222,0.035234,1,-0.0274228,0.0373826,-0.0373826,-0.0274228,1,1,-0.0266064,-0.0251953,-0.0107762,-0.00222746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,7.02048,0.27,-0.0380215,-0.0164751,1,1,1,1,0,1,1,-0.336534,-3.19271,0.165715,0.0211428,0.00870726,0.109681,22.3463,9744,1,367,184.039,2436,0,0.000884653,0.0253092,0.0186769,0,0,0,1,357,0.275,-0.000510043,-0.000374039,-0.000102861,0.000140262,-6.7491e-05,0.000158187,-0.173066,0.0602966,-0.00154202,0.257555,-0.213839,-0.00817899,-0.012251,0.040872,10.3972,1,0,0,0,0,0,-1,1,-9.04587e-07,-3.41782e-06,-0.214614,0,22.5749,1,1010,1010,1010,1010,0,0,0,0,39.1061,55,-0.0452716,-0.0260731,55,-0.0187003,-0.0282946,52,-0.0511075,-0.0327201,30,-0.0484634,-0.0160978,7,-0.00362994,-0.0288846,39,-0.0104253,-0.0281148,7,-0.0208708,-0.00571169,56,-0.0485747,-0.0294326,56,-0.0537294,-0.0333903
4706073936514,4706064050000,4706064050000,4706073925533,73729,9.87553,4706084666380,20.6164,0,10552,38501,0,0,1,0,0,0.011972,360,359,357,0.994429,2.5925,3.63577,0.488133,0.240243,-0.192688,-0.134216,-0.000367573,-0.000241553,1.53105e-05,0.0132857,1,-0.0201765,0.0307027,-0.0307027,-0.0201765,1,1,-0.0257076,-0.0173259,-0.00499508,-0.00285055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,7.86399,0.27,-0.0232025,-0.00340411,1,1,1,1,0,1,1,-0.336534,-3.19271,0.165715,0.0211428,0.00870726,0.109681,33.6834,9744,1,367,195.377,2436,0,0.000884653,0.0253092,0.0186769,0,0,0,1,357,0.275,-0.000311926,-0.000204874,-5.63402e-05,8.57797e-05,-3.50922e-05,9.53918e-05,-0.173101,0.060392,-0.00178187,0.257295,-0.213701,-0.015336,-0.015678,0.00970955,11.1055,2,0,0,0,0,0,-1,1,-9.04587e-07,-3.41782e-06,-0.214614,0,33.9008,1,1010,1010,1010,1010,0,0,0,0,0.184057,55,-0.0392581,-0.0149179,55,-0.0237667,-0.0221341,53,-0.0322213,-0.0278721,29,-0.0206664,-0.0126927,11,-0.0127095,-0.0206291,34,-0.0388717,-0.0222778,8,-0.0412699,-0.0217848,56,-0.0351119,-0.0213091,56,-0.0348809,-0.0239493
4706085186033,4706072092000,4706072092000,4706085172959,73729,13.081,4706096100826,24.0088,0,10552,38502,0,0,1,0,0,0.008042,345,345,344,0.997101,2.61206,3.62008,0.496578,0.236706,-0.143173,-0.110367,-0.00026259,-0.000189762,-0.00695706,0.0111241,1,-0.0235964,0.0326523,-0.0326523,-0.0235964,1,1,-0.0304048,-0.0220297,-0.00224749,-0.00156667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,8.96633,0.27,-0.0128382,-0.00340283,1,1,1,1,0,1,1,-0.33588,-3.19232,0.167901,0.0216206,0.00954969,0.105319,2.17137,9745,1,367,2.12446,2437,0,0.000884653,0.0278313,0.0279208,0,0,0,1,344,0.275,-0.000222769,-0.000160935,-4.42571e-05,6.12614e-05,-2.88842e-05,6.89391e-05,-0.17313,0.0604609,-0.00149842,0.257209,-0.213324,0.00181983,-0.0086167,0.0113448,1.92176,2,0,0,0,0,0,-1,1,-9.04587e-07,-3.41781e-06,-0.213565,0,2.38787,1,1010,1010,1010,1010,0,0,0,0,11.6137,56,-0.0400208,-0.0315284,56,-0.0148753,-0.0221629,47,-0.0289746,-0.0295636,23,-0.0415036,-0.0159546,7,-0.0170075,-0.0187065,35,-0.0250327,-0.0200824,8,-0.0144462,-0.00923886,56,-0.0443244,-0.0264505,56,-0.0413642,-0.0291947
4706096613627,4706084019000,4706084019000,4706096601219,73729,12.5822,4706107192658,23.1737,0,10552,38503,0,0,1,0,0,0.011927,353,353,350,0.991501,2.56174,2.78274,0.468319,0.245373,-0.0648956,-0.0324707,-0.000103009,-5.44874e-05,-0.00405171,0.00733288,1,-0.00456841,0.00863662,-0.00863662,-0.00456841,1,1,-0.00670228,-0.00336077,-0.00193434,-0.00120764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,0.05239,0.27,0.00745635,0.0133297,1,1,1,1,0,1,1,-0.33588,-3.19232,0.167901,0.0216206,0.00954969,0.105319,13.267,9745,1,367,13.22,2437,0,0.000884653,0.0278313,0.0279208,0,0,0,1,350,0.275,-8.73808e-05,-4.62427e-05,-1.27168e-05,2.40297e-05,-6.94129e-06,2.60906e-05,-0.173137,0.060487,-0.00149842,0.257209,-0.213324,0.0083382,-0.00664202,0.0151816,13.0395,0,0,0,0,0,0,-1,1,-9.04587e-07,-3.41781e-06,-0.213565,0,13.4998,1,1010,1010,1010,1010,0,0,0,0,22.7257,54,-0.0122203,0.00316489,55,-0.00533989,-0.00776422,51,-0.0123683,-0.00825993,29,0.00102063,0.00424213,5,0.017016,0.00471417,36,0.00685643,-0.00147398,8,-0.00251583,0.00794191,56,-0.0154183,-0.00693053,56,-0.0141041,-0.0071408
4706107723903,4706092059000,4706092059000,4706107711403,73729,15.6524,4706117577817,25.5188,0,10552,38504,0,0,1,0,0,0.00804,352,352,352,1,2.55532,2.86593,0.486448,0.243409,-0.00111389,-0.000289917,-7.46071e-05,1.67321e-05,-0.0358523,0.00947683,1,0.00208111,0.00927949,-0.00927949,0.00208111,1,1,-0.00871704,0.0032402,-0.000562443,-0.00115909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.27,1.01218,0.27,0.00455871,0.0131455,1,1,1,1,1,1,1,-0.33588,-3.19232,0.167901,0.0216206,0.00954969,0.105319,23.6529,9745,1,367,23.6059,2437,0,0.000884653,0.0278313,0.0279208,0,0,0,1,352,0.275,-6.32959e-05,1.41614e-05,3.89438e-06,1.74064e-05,7.35861e-06,1.62165e-05,-0.17313,0.0605032,-0.00132142,0.257151,-0.213218,0.0154204,-0.00637501,0.014811,10.1925,1,0,0,0,0,0,-1,1,-9.04587e-07,-3.41781e-06,-0.213565,0,23.8756,1,1010,1010,1010,1010,0,0,0,0,33.1015,56,-0.0114589,0.00948198,56,0.00373252,0.00145866,56,0.00110764,0.00672959,25,-0.0122475,-0.00977616,7,-0.0353656,0.00359439,33,-0.0199782,-0.00157808,7,-0.0243462,-0.0118029,56,-0.00612386,-0.000183415,56,-0.0106791,0.00562861
