mono_ns,camera_ts_ns,v4l2_timestamp_ns,camera_dequeue_ns,v4l2_flags,v4l2_to_dequeue_ms,flow_send_ns,frame_pipeline_latency_ms,camera_queue_dropped,camera_queue_dropped_total,frame,guide_leg,guide_stage,valid,invalid_reason,bridge_pending,dt_s,features,tracked,inliers,inlier_ratio,t_features_ms,t_lk_ms,t_ransac_ms,t_post_ms,du_px,dv_px,du_norm,dv_norm,yaw_rate_cam_z,scale_rate,lk_height_scale,flow_cam_x,flow_cam_y,flow_body_x,flow_body_y,lever_valid,lever_production_applied,lever_flow_body_x,lever_flow_body_y,lever_pred_flow_x,lever_pred_flow_y,ab_fb_enabled,ab_fb_max_px,ab_fb_checked,ab_fb_pass,ab_fb_ratio,ab_fb_inliers,ab_fb_valid,ab_fb_flow_body_x,ab_fb_flow_body_y,ab_fb_t_ms,ab_robust_valid,ab_robust_flow_body_x,ab_robust_flow_body_y,ab_robust_sigma,ab_robust_mean_weight,ab_robust_downweighted,ab_robust_iters,ab_obs_valid,ab_obs_flow_body_x,ab_obs_flow_body_y,ab_obs_median_ratio,ab_obs_mean_weight,ab_obs_downweighted,quality,luna_m,luna_age_ms,range_to_fc_m,flow_send_x,flow_send_y,flow_sent,stabilised_publish_mode,stabilised_publish_ready,stabilised_publish_source,range_sent,fc_armed,ekf_local_valid,ekf_x_ned,ekf_y_ned,ekf_z_ned,ekf_vx_ned,ekf_vy_ned,ekf_vz_ned,ekf_age_ms,ekf_count,ekf_status_valid,ekf_flags,ekf_status_age_ms,ekf_status_count,ekf_vel_var,ekf_pos_h_var,ekf_pos_v_var,ekf_compass_var,ekf_terrain_var,return_event,rc_zero_seq,worked5_valid,worked5_points,worked5_hcam_m,worked5_du_norm,worked5_dv_norm,worked5_dx_m,worked5_dy_m,worked5_dN_m,worked5_dE_m,worked5_acc_n_m,worked5_acc_e_m,fc_roll,fc_pitch,fc_yaw,fc_gyro_x,fc_gyro_y,fc_gyro_z,fc_gyro_age_ms,fc_gyro_samples,ctrl_target_valid,ctrl_target_x,ctrl_target_y,ctrl_target_vx,ctrl_target_vy,ctrl_target_age_ms,att_target_valid,att_target_roll,att_target_pitch,att_target_yaw,att_target_thrust,att_target_age_ms,outputs_valid,out1,out2,out3,out4,out5,out6,out7,out8,outputs_age_ms,c0_n,c0_bx,c0_by,c1_n,c1_bx,c1_by,c2_n,c2_bx,c2_by,c3_n,c3_bx,c3_by,c4_n,c4_bx,c4_by,c5_n,c5_bx,c5_by,c6_n,c6_bx,c6_by,c7_n,c7_bx,c7_by,c8_n,c8_bx,c8_by
6240261877740,6240249231000,6240249231000,6240261863406,73729,12.6324,6240274221219,24.9902,0,41510,161439,0,0,1,0,0,0.011951,349,349,347,0.994269,2.72896,3.72875,0.518893,0.242132,-0.0892944,-0.00376892,-0.000224527,-3.46485e-05,-0.000758092,0.00659669,1,-0.00289921,0.0187873,-0.0187873,-0.00289921,1,1,-0.0165459,-0.00338834,-0.00224139,0.000489121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.31,7.69893,0.31,-0.0160401,-0.00179679,1,1,1,1,1,1,1,-0.819069,-3.00831,0.128673,0.0126342,0.0082836,0.0589479,29.329,40365,1,367,29.2744,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,347,0.315,-0.000190391,-2.93392e-05,-9.24186e-06,5.99731e-05,5.04085e-06,6.0384e-05,0.213069,0.141911,0.00232001,0.343919,-0.226592,-0.00326054,0.00308146,0.00868816,12.67,1,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.226694,0,29.5904,1,1010,1010,1010,1010,0,0,0,0,38.9939,38,-0.0118362,0.00498744,56,-0.00827747,-0.00612807,56,-0.0145276,0.0043357,23,-0.0230935,0.00224317,37,-0.030018,-0.00330706,19,-0.0190573,-0.00162553,6,-0.0533481,-0.0323837,56,-0.013363,-0.000337679,56,-0.0153579,-0.00863374
6240274979243,6240257248000,6240257248000,6240274962798,73729,17.7148,6240285855025,28.607,0,41510,161440,0,0,1,0,0,0.008017,359,359,349,0.972145,2.51493,3.62093,0.503911,0.24189,-0.0775146,0.00244141,-0.000144158,4.07829e-07,-0.00902055,-0.00389406,1,5.08706e-05,0.0179816,-0.0179816,5.08706e-05,1,1,-0.0165012,-0.000583072,-0.00148035,0.000633943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.3,0.524708,0.3,-0.0139162,-0.000563512,1,1,1,1,0,1,1,-0.819069,-3.00831,0.128673,0.0126342,0.0082836,0.0589479,40.8902,40365,1,367,40.8354,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,349,0.305,-0.000122228,4.11497e-07,1.25507e-07,3.72794e-05,8.51721e-06,3.62936e-05,0.213077,0.141947,0.00230785,0.34397,-0.226557,-0.00213506,0.00386705,0.00551607,11.3073,1,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.226694,0,41.1137,1,1010,1010,1010,1010,0,0,0,0,0.152538,40,-0.0224519,0.00261008,56,-0.0155792,0.0136503,56,-0.0205548,-0.000456857,23,-0.0174997,0.00220063,44,-0.0352898,-0.0104313,18,-0.0146832,0.00401783,0,0,0,56,-0.0214121,0.00162263,56,-0.0157031,0.00549165
6240286445085,6240277246000,6240277246000,6240286437493,73729,9.19149,6240298718045,21.472,1,41511,161441,0,0,1,0,0,0.019998,363,363,359,0.988981,2.86315,3.80512,0.64282,0.29591,-0.0302887,-0.0301208,-2.89712e-05,-7.54443e-05,0.00150883,0.000651854,1,-0.00377259,0.00144871,-0.00144871,-0.00377259,1,1,-0.00162114,-0.00421034,0.00017243,0.000437751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.3,1.85622,0.3,-0.0927192,-0.102678,1,1,1,1,0,1,1,-0.819814,-3.00796,0.127489,0.0118044,0.00520126,0.0611179,3.86614,40366,1,367,53.6959,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,359,0.305,-2.46329e-05,-6.39986e-05,-1.95196e-05,7.51303e-06,-1.62117e-05,1.14491e-05,0.213061,0.141959,0.00222233,0.344053,-0.226666,-0.000104855,0.00267028,-0.000925341,3.62825,3,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.226546,0,4.09857,1,1010,1010,1010,1010,0,0,0,0,13.0219,39,-0.00395446,-0.00234508,56,0.000944014,-0.00563748,54,-0.000435026,-0.00398348,27,-0.00408943,-0.00142969,46,0.00599001,0.000583848,20,-0.00303775,-0.00611845,5,-0.00563138,-0.00694687,56,-0.00151398,-0.00362199,56,-0.00474208,-0.00328397
6240299259104,6240289230000,6240289230000,6240299246975,73729,10.017,6240311660917,22.4309,0,41511,161442,0,0,1,0,0,0.011984,357,357,354,0.991597,2.41287,3.9961,0.504522,0.24489,0.0142822,-0.0151367,2.5271e-05,-1.99663e-05,0.000772523,-0.00154369,1,-0.00166608,-0.00210873,0.00210873,-0.00166608,1,1,0.00126359,-0.0019899,0.000845142,0.000323816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.3,4.48959,0.3,0.00275647,-0.00542484,1,1,1,1,0,1,1,-0.819814,-3.00796,0.127489,0.0118044,0.00520126,0.0611179,16.8189,40366,1,367,66.6486,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,354,0.305,2.14316e-05,-1.69108e-05,-5.15781e-06,-6.53664e-06,-6.20509e-06,-5.27714e-06,0.213055,0.141953,0.00222233,0.344053,-0.226666,2.15936e-05,0.00197528,-0.00410702,16.5793,0,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.226546,0,17.0424,1,1010,1010,1010,1010,0,0,0,0,25.9657,39,0.00167533,-0.00087928,56,-0.00325008,0.00866716,52,0.00384639,-0.00269131,24,-0.00088781,-0.00441307,44,-0.00177315,-0.00784706,21,0.0031724,-0.00482719,6,-0.0179407,-0.00831923,56,0.00438909,-0.000668848,56,0.00356078,-0.00293425
6240312219902,6240297244000,6240297244000,6240312203550,73729,14.9596,6240323056574,25.8126,0,41511,161443,0,0,1,0,0,0.008014,356,356,348,0.977528,3.18984,2.77878,0.542282,0.346354,0.0431061,-0.00576782,6.68873e-05,-4.87316e-05,0.00931364,0.0272211,1,-0.00608081,-0.0083463,0.0083463,-0.00608081,1,1,0.00713457,-0.00612356,0.00121173,4.27484e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.31,6.96755,0.31,0.0689583,0.0533182,1,1,1,1,1,1,1,-0.819814,-3.00796,0.127489,0.0118044,0.00520126,0.0611179,28.269,40366,1,367,78.0987,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,348,0.315,5.67291e-05,-4.1286e-05,-1.30051e-05,-1.78697e-05,-1.59598e-05,-1.46567e-05,0.213039,0.141939,0.00216432,0.344046,-0.226762,-0.00100594,0.000269315,-0.00691186,11.1847,1,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.226546,0,28.5141,1,1010,1010,1010,1010,0,0,0,0,37.4374,42,0.0172481,-0.00262724,56,0.00730713,0.000578088,50,0.00335684,-0.000872419,28,0.023528,-0.00229529,39,0.00253536,-0.00351175,20,0.00494139,-0.00786091,1,0,0,56,0.00905607,-0.00671897,56,0.00866609,-0.00534561
6240324148397,6240309221000,6240309221000,6240324093285,73729,14.8723,6240338471167,29.2502,0,41511,161444,0,0,1,0,0,0.011977,358,358,354,0.988827,2.4633,4.14936,0.675412,0.324836,0.0402985,-0.0272369,7.28464e-05,-6.79065e-05,0.0017955,0.00302893,1,-0.00566974,-0.00608219,0.00608219,-0.00566974,1,1,0.00475408,-0.0055261,0.0013281,-0.000143643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.31,-1.01264,0.31,0.1426,0.125235,1,1,1,1,0,1,1,-0.8206,-3.00785,0.126113,0.0117256,0.00318641,0.0577794,0.181946,40367,1,367,93.441,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,354,0.315,6.17444e-05,-5.75795e-05,-1.81375e-05,-1.94495e-05,-2.10262e-05,-1.51052e-05,0.213018,0.141924,0.00196365,0.34403,-0.226984,-0.00378799,-0.000904952,-0.00972403,0.045907,2,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.227043,0,0.18628,1,1010,1010,1010,1010,0,0,0,0,0.52343,38,0.00572521,-0.0062899,56,0.00762415,-0.00256294,56,0.00500907,-0.00738961,22,0.00412884,-0.00553707,43,0.000224922,-0.00677309,21,0.00915954,-0.00102145,6,0.0228388,-0.00037543,56,0.00728951,-0.00567622,56,0.00690682,-0.004586
6240339134617,6240329229000,6240329229000,6240339126876,73729,9.89788,6240350466310,21.2373,1,41512,161445,0,0,1,0,0,0.020008,354,354,351,0.991525,2.57587,2.9505,0.51943,0.274576,0.0386658,-0.0535431,5.03682e-05,-0.000121687,0.00760023,0.00427824,1,-0.00608194,-0.0025174,0.0025174,-0.00608194,1,1,0.00123432,-0.00593068,0.00128308,-0.000151257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.31,3.81529,0.31,0.00542495,-0.00485082,1,1,1,1,0,1,1,-0.8206,-3.00785,0.126113,0.0117256,0.00318641,0.0577794,12.1891,40367,1,367,105.448,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,351,0.315,4.27112e-05,-0.000103154,-3.24935e-05,-1.3454e-05,-3.28412e-05,-6.22306e-06,0.212985,0.141917,0.00196365,0.34403,-0.226984,-0.00484239,-0.00095292,-0.0103407,12.0437,0,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.227043,0,12.0788,1,1010,1010,1010,1010,0,0,0,0,12.4159,42,0.00522952,-0.00819341,56,-0.00113941,-0.00498046,47,0.00125536,-0.00597721,24,0.00293266,-0.00950495,41,0.00802079,-0.00604955,23,0.00617647,-0.005835,6,0.00466439,-0.00380371,56,0.00555061,-0.0068779,56,0.00423736,-0.00609976
6240350990870,6240337245000,6240337245000,6240350978055,73729,13.7331,6240360945887,23.7009,0,41512,161446,0,0,1,0,0,0.008016,361,361,361,1,2.51437,3.14899,0.468929,0.248483,0.0374451,0.000427246,6.47175e-05,1.32142e-05,0.00985847,-0.0061317,1,0.00164848,-0.00807354,0.00807354,0.00164848,1,1,0.007256,0.00149056,0.000817536,0.000157924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.31,5.37724,0.31,0.0127138,0.00166667,1,1,1,1,0,1,1,-0.8206,-3.00785,0.126113,0.0117256,0.00318641,0.0577794,22.6847,40367,1,367,115.944,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,361,0.315,5.49342e-05,1.11963e-05,3.52683e-06,-1.73043e-05,-6.71772e-07,-1.7605e-05,0.212985,0.1419,0.00184438,0.344093,-0.227101,-0.0045455,0.00099492,-0.00775678,10.2444,2,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.227043,0,22.6384,1,1010,1010,1010,1010,0,0,0,0,22.9755,42,0.00926723,-0.000240112,56,0.00563803,0.0123109,52,0.0144195,-0.00372551,24,0.0112552,-0.00132351,43,-0.0260941,0.000334865,25,0.00853451,0.00443371,7,0.0187289,-0.0125056,56,0.00938563,0.000731953,56,0.014315,-0.00216365
6240361573243,6240345267000,6240345267000,6240361557798,73729,16.2908,6240372192116,26.9251,0,41512,161447,0,0,1,0,0,0.008022,351,351,347,0.988604,2.45848,3.00391,0.498781,0.273002,0.0428162,0.0578613,9.15884e-05,0.000115608,-0.00115504,-0.00882393,1,0.0144114,-0.0114171,0.0114171,0.0144114,1,1,0.0118825,0.0134024,-0.000465305,0.001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.31,5.93004,0.31,0.0141493,0.0122148,1,1,1,1,0,1,1,-0.8206,-3.00785,0.126113,0.0117256,0.00318641,0.0577794,33.9256,40367,1,367,127.185,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,347,0.315,7.77021e-05,9.80316e-05,3.088e-05,-2.44762e-05,2.27986e-05,-3.0388e-05,0.213007,0.141869,0.00182629,0.344184,-0.227045,-0.00153708,0.0063567,0.00111547,11.0212,1,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.227043,0,33.8142,1,1010,1010,1010,1010,0,0,0,0,34.1513,42,0.0181377,0.0188306,56,0.0055049,0.0175301,56,0.00813743,0.0138389,26,0.0142459,0.00704763,29,-0.0245273,0.00707413,20,0.00846928,0.0105284,6,-0.0127251,0.00697536,56,0.0115126,0.0137683,56,0.0129901,0.0193882
6240372759102,6240357248000,6240357248000,6240372745898,73729,15.4979,6240382726804,25.4788,0,41512,161448,0,0,1,0,0,0.011981,364,364,345,0.947802,2.66476,2.87871,0.54456,0.278687,0.0286865,0.0791626,6.49142e-05,0.000173802,-0.00258056,-0.0144389,1,0.0145065,-0.0054181,0.0054181,0.0145065,1,1,0.00687281,0.0133795,-0.00145472,0.00112701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0.31,6.65888,0.31,0.00952084,0.00900262,1,1,1,1,1,1,1,-0.8206,-3.00785,0.126113,0.0117256,0.00318641,0.0577794,44.4766,40367,1,367,137.736,10092,0,0.000884653,0.0296505,0.0283338,0,0,0,1,345,0.315,5.50231e-05,0.000147313,4.64037e-05,-1.73323e-05,3.86496e-05,-2.67165e-05,0.213046,0.141843,0.00176835,0.344237,-0.227012,-0.00316991,0.00710016,0.00479584,10.3304,1,0,0,0,0,0,-1,1,-9.04615e-07,-3.41766e-06,-0.227043,0,44.3637,1,1010,1010,1010,1010,0,0,0,0,44.7008,39,-0.0024326,0.0114628,56,0.00252173,0.0150489,43,0.0068015,0.0145593,28,-0.00441278,0.0135508,42,0.0330563,0.0135882,19,0.00390731,0.0177725,6,0.00187281,0.0192849,56,0.0066571,0.0147758,56,0.00999882,0.0133383
